element,image_path,caption
Mn,deficiencies/Mn\1.jpg,a close up of a leaf with brown spots on it - stock image
Mn,deficiencies/Mn\10.jpg,a plant with the names of the names of each plants
Mn,deficiencies/Mn\11.jpg,a close up of a plant with green leaves and brown spots on it - stock image
Mn,deficiencies/Mn\12.jpg,a close up of a green plant with leaves
Mn,deficiencies/Mn\13.jpg,a close up of a plant with green leaves
Mn,deficiencies/Mn\14.jpg,a col of photos showing the leaves and the leaves of a cannabis plant
Mn,deficiencies/Mn\15.jpg,a close up of a leaf with a green background
Mn,deficiencies/Mn\16.jpg,a leaf with yellow spots
Mn,deficiencies/Mn\17.jpg,a close up of a tomato plant with green leaves and brown spots on the leaves - stock photo
Mn,deficiencies/Mn\18.jpg,a close up of a leaf
Mn,deficiencies/Mn\19.jpg,the leaves of the plant are yellow and green
Mn,deficiencies/Mn\2.jpg,a close up of a leaf with yellow spots
Mn,deficiencies/Mn\20.jpg,four different types of leaves
Mn,deficiencies/Mn\21.jpg,a person holding a plant with green leaves
Mn,deficiencies/Mn\22.jpg,a leaf with yellow leaves
Mn,deficiencies/Mn\23.jpg,a selection of leaves with yellow and green leaves
Mn,deficiencies/Mn\24.jpg,a green leaf on a tree branch
Mn,deficiencies/Mn\25.jpg,a leaf with yellow spots on it
Mn,deficiencies/Mn\26.jpg,a young tomato plant growing in the garden - stock image
Mn,deficiencies/Mn\27.jpg,a close up of a plant with green leaves
Mn,deficiencies/Mn\28.jpg,magnesium vs magnesium deficiency
Mn,deficiencies/Mn\29.jpg,how to treat magnesium deficiency plant
Mn,deficiencies/Mn\3.jpg,a person holding a leaf in their hand
Mn,deficiencies/Mn\30.jpg,a close up of a leaf with brown spots on it - stock image
Mn,deficiencies/Mn\31.jpg,"a leaf with the words, ` ` ' and ` '"
Mn,deficiencies/Mn\32.jpg,a green leaf with a small leaf on it
Mn,deficiencies/Mn\33.jpg,a close up of a leaf with black spots
Mn,deficiencies/Mn\34.jpg,a pot filled with soil and a plant
Mn,deficiencies/Mn\35.jpg,a leaf with the letter f on it
Mn,deficiencies/Mn\36.jpg,a plant with yellow spots on it
Mn,deficiencies/Mn\37.jpg,a close up of a green leaf with black spots on it - stock image
Mn,deficiencies/Mn\38.jpg,a close up of a leaf on a plant
Mn,deficiencies/Mn\39.jpg,a leaf with green leaves on it
Mn,deficiencies/Mn\4.jpg,a close up of a leaf with green leaves
Mn,deficiencies/Mn\40.jpg,a close up of a yellow leaf with brown spots
Mn,deficiencies/Mn\41.jpg,error
Mn,deficiencies/Mn\42.jpg,a close up of a plant with water droplets
Mn,deficiencies/Mn\43.jpg,a close up of a green leaf with yellow leaves in the background - stock image
Mn,deficiencies/Mn\44.jpg,error
Mn,deficiencies/Mn\45.jpg,a hand holding a marijuana plant
Mn,deficiencies/Mn\46.jpg,a green plant with leaves and brown spots
Mn,deficiencies/Mn\47.jpg,a diagram of the plant ' s life cycle
Mn,deficiencies/Mn\48.jpg,a leaf with a few leaves on it
Mn,deficiencies/Mn\49.jpg,a close up of a green leaf
Mn,deficiencies/Mn\5.jpg,a close up of a leaf with white spots
Mn,deficiencies/Mn\50.jpg,a plant with brown spots on it
Mn,deficiencies/Mn\51.jpg,a plant with seeds and leaves
Mn,deficiencies/Mn\52.jpg,a green leaf with yellow spots
Mn,deficiencies/Mn\53.jpg,a close up of a leaf with a blury background
Mn,deficiencies/Mn\54.jpg,"a plant with a sign on it that says, ' m '"
Mn,deficiencies/Mn\55.jpg,a diagram of the different types of leaves
Mn,deficiencies/Mn\56.jpg,a close up of a green leaf with white background - stock image
Mn,deficiencies/Mn\57.jpg,a close up of a leaf
Mn,deficiencies/Mn\58.jpg,four images of marijuana leaves
Mn,deficiencies/Mn\59.jpg,a bunch of avocas growing on a tree
Mn,deficiencies/Mn\6.jpg,a close up of a green plant with leaves
Mn,deficiencies/Mn\60.jpg,a plant with leaves and leaves that have been eaten
Mn,deficiencies/Mn\61.jpg,green leaves stock photo image of plant
Mn,deficiencies/Mn\62.jpg,a leaf with a yellow and green pattern
Mn,deficiencies/Mn\63.jpg,error
Mn,deficiencies/Mn\64.jpg,the plant life cycle
Mn,deficiencies/Mn\65.jpg,a close up of a plant with green leaves on a black background - stock image
Mn,deficiencies/Mn\66.jpg,a close up of a green plant with leaves
Mn,deficiencies/Mn\67.jpg,a bunch of leaves with the names of different plants
Mn,deficiencies/Mn\7.jpg,error
Mn,deficiencies/Mn\8.jpg,a man in a lab coat is looking at a marijuana plant
Mn,deficiencies/Mn\9.jpg,a tree with leaves and the words ronald ' s defence
Zn,deficiencies/Zn\1.jpg,a close up of a plant with green leaves
Zn,deficiencies/Zn\10.jpg,a close up of a green leaf on a bush - stock image
Zn,deficiencies/Zn\11.jpg,a col of four photos showing the different leaves and leaves
Zn,deficiencies/Zn\12.jpg,a close up of a green plant with leaves
Zn,deficiencies/Zn\13.jpg,a leaf with a white spot on it
Zn,deficiencies/Zn\14.jpg,a leaf with a brown substance on it
Zn,deficiencies/Zn\15.jpg,a plant with leaves and leaves on it
Zn,deficiencies/Zn\16.jpg,a series of photos showing the different stages of the plant
Zn,deficiencies/Zn\17.jpg,a bunch of leaves and a bunch of leaves
Zn,deficiencies/Zn\18.jpg,a close up of a plant with yellow flowers
Zn,deficiencies/Zn\19.jpg,a close up of a leaf with a green background
Zn,deficiencies/Zn\2.jpg,a small green plant with leaves and leaves on a black background - stock image
Zn,deficiencies/Zn\20.jpg,a person holding a leaf in their hand
Zn,deficiencies/Zn\21.jpg,a group of leaves with green leaves on them
Zn,deficiencies/Zn\22.jpg,a plant with the names of its parts
Zn,deficiencies/Zn\23.jpg,a leaf with yellow and green leaves on it
Zn,deficiencies/Zn\24.jpg,a pot with a cannabis plant in it
Zn,deficiencies/Zn\25.jpg,a plant with a tag on it
Zn,deficiencies/Zn\26.jpg,the different parts of a plant
Zn,deficiencies/Zn\27.jpg,two green leaves
Zn,deficiencies/Zn\28.jpg,a leaf with yellow and green leaves hanging from a tree
Zn,deficiencies/Zn\29.jpg,soy plants in a field
Zn,deficiencies/Zn\3.jpg,a close up of a green and yellow leaf - stock image
Zn,deficiencies/Zn\30.jpg,a field of corn
Zn,deficiencies/Zn\31.jpg,a close up of a lemon tree with green leaves and yellow fruit - stock image
Zn,deficiencies/Zn\32.jpg,a col of photos of plants and plants
Zn,deficiencies/Zn\33.jpg,a large green leaf
Zn,deficiencies/Zn\34.jpg,a close up of a plant with green leaves
Zn,deficiencies/Zn\35.jpg,how to identify and fix nutrient deficiency plants
Zn,deficiencies/Zn\36.jpg,a leaf with light green leaves
Zn,deficiencies/Zn\37.jpg,a tomato and a button with the word ' i ' m '
Zn,deficiencies/Zn\38.jpg,corn corn growing in the field
Zn,deficiencies/Zn\39.jpg,a close up of a green leaf
Zn,deficiencies/Zn\4.jpg,a close up of a leaf with a blur of the background
Zn,deficiencies/Zn\40.jpg,a plant with green leaves growing in the ground
Zn,deficiencies/Zn\41.jpg,a close up of a plant with green leaves
Zn,deficiencies/Zn\42.jpg,two leaves on a blue background
Zn,deficiencies/Zn\43.jpg,explain efficiency plants and how they grow
Zn,deficiencies/Zn\44.jpg,a close up of a green plant with leaves
Zn,deficiencies/Zn\45.jpg,error
Zn,deficiencies/Zn\5.jpg,a hand holding two green leaves
Zn,deficiencies/Zn\6.jpg,green leaves of a plant in the forest
Zn,deficiencies/Zn\7.jpg,green leaves stock photo royalty illustration of green leaves
Zn,deficiencies/Zn\8.jpg,green leaves background stock photo royalty illustration
Zn,deficiencies/Zn\9.jpg,the leaves of the plant are showing different stages
Cu,deficiencies/Cu\1.jpg,a close up of a bush of green leaves
Cu,deficiencies/Cu\10.jpg,a plant with a leaf and a leaf with a leaf
Cu,deficiencies/Cu\11.jpg,a plant with leaves and a blue sky in the background
Cu,deficiencies/Cu\12.jpg,a col of photos showing the different types of plants
Cu,deficiencies/Cu\13.jpg,a plant in a pot
Cu,deficiencies/Cu\14.jpg,a plant with a leaf and a leaf with a leaf
Cu,deficiencies/Cu\15.jpg,a fruit on a tree branch with the words ' ' ' ' ' ' ' ' ' ' '
Cu,deficiencies/Cu\16.jpg,a leaf with brown spots on it
Cu,deficiencies/Cu\17.jpg,a plant with green leaves in a dark room
Cu,deficiencies/Cu\18.jpg,a bunch of green leaves on a table
Cu,deficiencies/Cu\19.jpg,a leaf with yellow spots
Cu,deficiencies/Cu\2.jpg,a close up of a flower
Cu,deficiencies/Cu\20.jpg,a small bird sitting on top of a grass covered field
Cu,deficiencies/Cu\21.jpg,a pile of leaves and plants with dirt on the ground
Cu,deficiencies/Cu\22.jpg,a plant with long green leaves on it
Cu,deficiencies/Cu\23.jpg,5 common nutrient deficiency plants
Cu,deficiencies/Cu\24.jpg,a leaf with yellow spots on it
Cu,deficiencies/Cu\25.jpg,a close up of a plant with green leaves
Cu,deficiencies/Cu\26.jpg,a plant with brown spots on it
Cu,deficiencies/Cu\27.jpg,a plant with the names of its parts
Cu,deficiencies/Cu\28.jpg,a plant with green leaves and yellow stems
Cu,deficiencies/Cu\29.jpg,a plant with four different leaves and one has a stem
Cu,deficiencies/Cu\3.jpg,two pictures of plants with different colors
Cu,deficiencies/Cu\30.jpg,a box of vitamins and a box of vitamins
Cu,deficiencies/Cu\31.jpg,the different parts of a plant
Cu,deficiencies/Cu\32.jpg,a book with a bunch of different types of leaves
Cu,deficiencies/Cu\33.jpg,a plant with two leaves and two leaves
Cu,deficiencies/Cu\34.jpg,a person holding a leaf with a small plant in the background
Cu,deficiencies/Cu\35.jpg,a leaf with brown spots
Cu,deficiencies/Cu\36.jpg,how to grow organic food
Cu,deficiencies/Cu\37.jpg,a woman holding a pot with a plant in it
Cu,deficiencies/Cu\38.jpg,a group of leaves with yellow light on them
Cu,deficiencies/Cu\39.jpg,a close up of a plant with green leaves
Cu,deficiencies/Cu\4.jpg,a leaf with brown spots on it
Cu,deficiencies/Cu\40.jpg,a col of photos of plants and plants
Cu,deficiencies/Cu\41.jpg,a greenhouse with plants growing inside
Cu,deficiencies/Cu\42.jpg,a close up view of a green leaf with brown spots on it - stock image
Cu,deficiencies/Cu\43.jpg,a plant with a stem and leaves in a vase
Cu,deficiencies/Cu\44.jpg,a leaf with the letter c on it
Cu,deficiencies/Cu\45.jpg,poison deficiency cannabis plants
Cu,deficiencies/Cu\46.jpg,a poster with a picture of plants and plants
Cu,deficiencies/Cu\47.jpg,error
Cu,deficiencies/Cu\48.jpg,a close up of a green leaf with yellow spots
Cu,deficiencies/Cu\49.jpg,error
Cu,deficiencies/Cu\5.jpg,a close up of a leaf with green leaves
Cu,deficiencies/Cu\50.jpg,a person in blue gloves and gloves is dumping a bag of com com com com com com com com
Cu,deficiencies/Cu\51.jpg,a person holding a plant with green leaves
Cu,deficiencies/Cu\52.jpg,a field of corn
Cu,deficiencies/Cu\53.jpg,two images of plants with dirt and soil
Cu,deficiencies/Cu\54.jpg,a person holding a handful of soil
Cu,deficiencies/Cu\55.jpg,a set of four different stages of the plant
Cu,deficiencies/Cu\56.jpg,a person holding a seed in their hand with the text fix copper deficiency organic
Cu,deficiencies/Cu\57.jpg,a plant with many different types of leaves
Cu,deficiencies/Cu\58.jpg,a person planting plants in a garden with text overlay
Cu,deficiencies/Cu\59.jpg,a plant with green leaves growing in the center of a blue background
Cu,deficiencies/Cu\6.jpg,a close up of a plant with leaves
Cu,deficiencies/Cu\60.jpg,the symptoms of the symptoms of the symptoms of the symptoms of the symptoms of the symptoms of the symptoms
Cu,deficiencies/Cu\61.jpg,a screen shot of a leaf chart
Cu,deficiencies/Cu\62.jpg,a bunch of tomatoes growing on a vine
Cu,deficiencies/Cu\63.jpg,the logo for the internet and the word internet
Cu,deficiencies/Cu\64.jpg,a variety of leaf varieties
Cu,deficiencies/Cu\7.jpg,"a plant with the words, functions of open and un plant"
Cu,deficiencies/Cu\8.jpg,a close up of a plant with green leaves
Cu,deficiencies/Cu\9.jpg,a leaf with brown spots on it
B,deficiencies/B\1.jpg,a close up of a leaf with brown spots
B,deficiencies/B\10.jpg,banana plants in the field
B,deficiencies/B\11.jpg,a close up of a plant with brown spots
B,deficiencies/B\12.jpg,a leaf with a blue sky in the background
B,deficiencies/B\13.jpg,a plant with green leaves growing in the ground
B,deficiencies/B\14.jpg,a close up of a plant with leaves
B,deficiencies/B\15.jpg,two leaves with green leaves on them
B,deficiencies/B\16.jpg,a close up of a plant with leaves
B,deficiencies/B\17.jpg,a plant with a leaf that is growing from the ground
B,deficiencies/B\18.jpg,a hand holding a bunch of riped strawberries
B,deficiencies/B\19.jpg,a col of four images showing the different types of plants
B,deficiencies/B\2.jpg,a leaf with a green leaf and a white leaf with a green leaf
B,deficiencies/B\20.jpg,two photos of a plant with roots and roots
B,deficiencies/B\21.jpg,a plant with a white sign that says b
B,deficiencies/B\22.jpg,a close up of a leaf with yellow spots
B,deficiencies/B\23.jpg,plant science - plant science - plant science - plant science - plant science - plant science - plant science
B,deficiencies/B\24.jpg,a plant with long green leaves in a blue background
B,deficiencies/B\25.jpg,a leaf with yellow leaves on it
B,deficiencies/B\26.jpg,a leaf with a green leaf on it
B,deficiencies/B\27.jpg,a diagram of the plant and its functions
B,deficiencies/B\28.jpg,a close up of a plant with leaves
B,deficiencies/B\29.jpg,a plant with green leaves and brown spots
B,deficiencies/B\3.jpg,a col of photos showing the stages of tomato plants
B,deficiencies/B\30.jpg,a bunch of grapes with green leaves and a bunch of grapes with green leaves
B,deficiencies/B\31.jpg,a picture of a plant with soil and a box of soil
B,deficiencies/B\32.jpg,a close up of a patch of grass
B,deficiencies/B\33.jpg,a close up of a green plant with a small bug crawling on it
B,deficiencies/B\34.jpg,a close up of a green plant with a small spider crawling on it ' s back - stock image
B,deficiencies/B\35.jpg,a green leaf with yellow leaves in the ground
B,deficiencies/B\36.jpg,two photos of the same plant with different leaves
B,deficiencies/B\37.jpg,a field of young corn plants
B,deficiencies/B\38.jpg,a close up of a plant with yellow leaves
B,deficiencies/B\39.jpg,a person holding a pen and a plant with a letter b on it
B,deficiencies/B\4.jpg,a plant with green leaves and brown spots
B,deficiencies/B\40.jpg,a green leaf with a white spot on it
B,deficiencies/B\41.jpg,a plant with green leaves in a pot
B,deficiencies/B\42.jpg,a large spider crawling on the ground in the desert - stock image
B,deficiencies/B\43.jpg,a bunch of green beans
B,deficiencies/B\44.jpg,two photos of a plant with roots and roots
B,deficiencies/B\45.jpg,two pictures of a corn and a hand holding a corn
B,deficiencies/B\46.jpg,a close up of a leaf with water droplets on it
B,deficiencies/B\47.jpg,a diagram of the plant ' s growth
B,deficiencies/B\48.jpg,a plant with leaves and leaves that have been eaten by a fungus
B,deficiencies/B\49.jpg,a close up of a green cabbage
B,deficiencies/B\5.jpg,a leaf with brown spots and brown spots
B,deficiencies/B\50.jpg,a plant with green leaves and brown spots
B,deficiencies/B\51.jpg,a leaf floating in the water
B,deficiencies/B\52.jpg,a close up of a green stalk with brown spots
B,deficiencies/B\53.jpg,a close up of a green plant with a small flower
B,deficiencies/B\54.jpg,a close up of a plant with leaves
B,deficiencies/B\55.jpg,a plant sphing in the ground
B,deficiencies/B\56.jpg,banana plantation stock photo
B,deficiencies/B\57.jpg,a close up of a green plant with small leaves and small leaves on the ground royalty image
B,deficiencies/B\58.jpg,the banana tree is green
B,deficiencies/B\59.jpg,a plant in the forest with green leaves
B,deficiencies/B\6.jpg,a close up of a green plant with leaves and leaves on it - stock image
B,deficiencies/B\60.jpg,a bush of yellow flowers in the desert
B,deficiencies/B\61.jpg,a bunch of green leaves
B,deficiencies/B\62.jpg,a series of photos showing how to grow a tomato plant
B,deficiencies/B\7.jpg,"a close up of a plant with the words, ' treemin plant ' and ' myben"
B,deficiencies/B\8.jpg,"a leaf with yellow spots on it, showing the damage of the leaves - stock image"
B,deficiencies/B\9.jpg,a close up of a leaf with yellow spots
Mo,deficiencies/Mo\1.jpg,a close up of a leaf with a green leaf
Mo,deficiencies/Mo\10.jpg,how to tell if your poison is poisonous
Mo,deficiencies/Mo\11.jpg,a bush of yellow flowers in the desert
Mo,deficiencies/Mo\12.jpg,a close up of a plant with leaves
Mo,deficiencies/Mo\13.jpg,a col of four photos of a plant with multiple leaves
Mo,deficiencies/Mo\14.jpg,a selection of leaf lesions
Mo,deficiencies/Mo\15.jpg,a close up of a green leaf
Mo,deficiencies/Mo\16.jpg,a glass bowl
Mo,deficiencies/Mo\17.jpg,a plant with yellow leaves in a pot
Mo,deficiencies/Mo\18.jpg,a pot with a marijuana plant in it
Mo,deficiencies/Mo\19.jpg,a close up of a plant with green leaves
Mo,deficiencies/Mo\2.jpg,error
Mo,deficiencies/Mo\20.jpg,a poster with a picture of a plant
Mo,deficiencies/Mo\21.jpg,a plant with green leaves growing in the ground
Mo,deficiencies/Mo\22.jpg,how to plant a plant in a pot
Mo,deficiencies/Mo\23.jpg,how to eat plant based diets
Mo,deficiencies/Mo\24.jpg,a plant with two different leaves and one with a green leaf
Mo,deficiencies/Mo\25.jpg,a plant with yellow leaves and brown spots
Mo,deficiencies/Mo\26.jpg,a col of photos of plants
Mo,deficiencies/Mo\27.jpg,a col of four photos of plants and their names
Mo,deficiencies/Mo\28.jpg,a col of four different types of leaves
Mo,deficiencies/Mo\29.jpg,a close up of a plant with green and yellow leaves
Mo,deficiencies/Mo\3.jpg,error
Mo,deficiencies/Mo\30.jpg,a couple of plants sitting on a bench
Mo,deficiencies/Mo\31.jpg,a picture of a plant with a quote on it
Mo,deficiencies/Mo\32.jpg,a close up of a leaf with yellow and green leaves
Mo,deficiencies/Mo\33.jpg,a close up of a variety of green and white leaves
Mo,deficiencies/Mo\34.jpg,the leaves of the tree are green and brown
Mo,deficiencies/Mo\35.jpg,a leaf with green leaves on it
Mo,deficiencies/Mo\36.jpg,role of the role of the plant in the soil
Mo,deficiencies/Mo\37.jpg,external symptoms of moldenc air air to air drop
Mo,deficiencies/Mo\38.jpg,a leaf with the name of the plant
Mo,deficiencies/Mo\39.jpg,a close up of a tree with yellow leaves
Mo,deficiencies/Mo\4.jpg,error
Mo,deficiencies/Mo\40.jpg,a plant growing out of the ground
Mo,deficiencies/Mo\41.jpg,a plant with green leaves growing in dirt
Mo,deficiencies/Mo\42.jpg,"a close up of a plant with the words, ' treemin plant ' and ' myben"
Mo,deficiencies/Mo\43.jpg,the four stages of marijuana leaf growth
